"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,829,236","100"
"2","www.google.com","12,135,220","100"
"3","apple.com","4,588,808","100"
"4","microsoft.com","4,615,098","99"
"5","play.google.com","2,382,492","99"
"6","support.google.com","4,575,881","99"
"7","docs.google.com","2,272,608","99"
"8","www.blogger.com","25,296,987","99"
"9","cloudflare.com","5,238,012","98"
"10","en.wikipedia.org","5,463,857","98"
"11","adobe.com","2,845,593","98"
"12","maps.google.com","4,375,185","98"
"13","wordpress.org","9,982,666","98"
"14","plus.google.com","11,762,178","98"
"15","linkedin.com","8,920,642","98"
"16","sites.google.com","1,701,477","97"
"17","googleusercontent.com","2,160,406","97"
"18","vimeo.com","3,108,795","97"
"19","mozilla.org","1,946,700","97"
"20","accounts.google.com","2,533,101","97"
"21","europa.eu","1,683,152","97"
"22","drive.google.com","1,794,561","97"
"23","youtu.be","3,935,031","97"
"24","line.me","613,462","96"
"25","facebook.com","45,676,705","96"
"26","vk.com","1,593,922","96"
"27","medium.com","1,136,011","96"
"28","creativecommons.org","1,558,229","96"
"29","istockphoto.com","3,095,020","96"
"30","amazon.com","4,011,123","96"
"31","bp.blogspot.com","15,976,986","96"
"32","github.com","2,018,581","96"
"33","es.wikipedia.org","777,049","96"
"34","bbc.co.uk","1,416,928","96"
"35","theguardian.com","1,201,460","95"
"36","google.es","413,614","95"
"37","google.fr","380,761","95"
"38","dailymotion.com","1,065,777","95"
"39","jimdofree.com","1,665,691","95"
"40","google.co.jp","629,054","95"
"41","whatsapp.com","1,860,204","95"
"42","pt.wikipedia.org","357,914","95"
"43","mail.google.com","438,587","95"
"44","get.google.com","659,636","95"
"45","fr.wikipedia.org","538,714","95"
"46","w3.org","1,058,017","95"
"47","bbc.com","669,498","95"
"48","uol.com.br","561,589","95"
"49","cnn.com","1,224,893","95"
"50","google.co.uk","541,018","95"
"51","globo.com","383,127","95"
"52","t.me","541,960","95"
"53","news.google.com","688,281","95"
"54","dropbox.com","934,312","95"
"55","myspace.com","1,248,301","95"
"56","developers.google.com","906,241","95"
"57","google.de","1,087,853","95"
"58","nih.gov","1,055,620","95"
"59","reuters.com","729,449","95"
"60","hugedomains.com","4,987,326","95"
"61","policies.google.com","1,125,309","95"
"62","forbes.com","1,152,379","95"
"63","wikimedia.org","1,370,130","95"
"64","slideshare.net","876,822","95"
"65","feedburner.com","1,725,215","95"
"66","mail.ru","476,112","95"
"67","nytimes.com","1,688,094","95"
"68","www.yahoo.com","916,657","95"
"69","msn.com","986,262","95"
"70","photos.google.com","230,499","95"
"71","aliexpress.com","438,595","95"
"72","who.int","2,066,984","95"
"73","live.com","737,173","95"
"74","paypal.com","908,970","95"
"75","google.com.br","262,826","95"
"76","buydomains.com","1,136,671","95"
"77","gstatic.com","584,071","95"
"78","imdb.com","1,226,553","95"
"79","tinyurl.com","1,231,700","94"
"80","rakuten.co.jp","586,090","94"
"81","google.ru","172,788","94"
"82","office.com","351,350","94"
"83","tools.google.com","1,499,190","94"
"84","wired.com","534,964","94"
"85","steampowered.com","217,192","94"
"86","harvard.edu","587,915","94"
"87","foxnews.com","453,633","94"
"88","de.wikipedia.org","591,711","94"
"89","opera.com","755,979","94"
"90","amazon.co.uk","629,004","94"
"91","nasa.gov","550,491","94"
"92","bit.ly","4,065,933","94"
"93","aboutads.info","489,458","94"
"94","businessinsider.com","578,906","94"
"95","draft.blogger.com","9,476,170","94"
"96","amazon.de","491,682","94"
