21:45:35 parrot NetworkManager[779]: <info>  [1604592935.9077] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:45:37 parrot NetworkManager[779]: <info>  [1604592937.0443] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:45:37 parrot NetworkManager[779]: <info>  [1604592937.0444] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:45:39 parrot NetworkManager[779]: <info>  [1604592939.6032] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:45:39 parrot NetworkManager[779]: <info>  [1604592939.6033] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:45:40 parrot NetworkManager[779]: <info>  [1604592940.0439] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:45:40 parrot NetworkManager[779]: <info>  [1604592940.0440] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:45:41 parrot NetworkManager[779]: <info>  [1604592941.5579] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:45:41 parrot NetworkManager[779]: <info>  [1604592941.5580] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:45:50 parrot NetworkManager[779]: <info>  [1604592950.0520] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:45:50 parrot NetworkManager[779]: <info>  [1604592950.0521] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:45:52 parrot NetworkManager[779]: <info>  [1604592952.0274] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:45:52 parrot NetworkManager[779]: <info>  [1604592952.0275] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:45:54 parrot NetworkManager[779]: <info>  [1604592954.0433] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:45:54 parrot NetworkManager[779]: <info>  [1604592954.0433] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:45:55 parrot NetworkManager[779]: <info>  [1604592955.7961] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:45:55 parrot NetworkManager[779]: <info>  [1604592955.7962] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:45:57 parrot NetworkManager[779]: <info>  [1604592957.0441] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:45:57 parrot NetworkManager[779]: <info>  [1604592957.0441] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:45:58 parrot NetworkManager[779]: <info>  [1604592958.9049] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:45:58 parrot NetworkManager[779]: <info>  [1604592958.9050] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:00 parrot NetworkManager[779]: <info>  [1604592960.0440] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:00 parrot NetworkManager[779]: <info>  [1604592960.0440] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:02 parrot NetworkManager[779]: <info>  [1604592962.6061] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:02 parrot NetworkManager[779]: <info>  [1604592962.6061] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:03 parrot NetworkManager[779]: <info>  [1604592963.0452] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:03 parrot NetworkManager[779]: <info>  [1604592963.0452] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:04 parrot NetworkManager[779]: <info>  [1604592964.0997] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:04 parrot NetworkManager[779]: <info>  [1604592964.0998] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:07 parrot NetworkManager[779]: <info>  [1604592967.0454] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:07 parrot NetworkManager[779]: <info>  [1604592967.0454] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:07 parrot NetworkManager[779]: <info>  [1604592967.8773] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:07 parrot NetworkManager[779]: <info>  [1604592967.8774] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:09 parrot NetworkManager[779]: <info>  [1604592969.0443] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:09 parrot NetworkManager[779]: <info>  [1604592969.0444] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:10 parrot NetworkManager[779]: <info>  [1604592970.1012] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:10 parrot NetworkManager[779]: <info>  [1604592970.1013] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:23 parrot NetworkManager[779]: <info>  [1604592983.0556] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:23 parrot NetworkManager[779]: <info>  [1604592983.0556] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:25 parrot NetworkManager[779]: <info>  [1604592985.6186] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:25 parrot NetworkManager[779]: <info>  [1604592985.6187] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:31 parrot NetworkManager[779]: <info>  [1604592991.0477] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:31 parrot NetworkManager[779]: <info>  [1604592991.0478] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:33 parrot NetworkManager[779]: <info>  [1604592993.3639] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:33 parrot NetworkManager[779]: <info>  [1604592993.3640] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:34 parrot NetworkManager[779]: <info>  [1604592994.0441] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:34 parrot NetworkManager[779]: <info>  [1604592994.0442] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:36 parrot NetworkManager[779]: <info>  [1604592996.1379] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:36 parrot NetworkManager[779]: <info>  [1604592996.1380] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:37 parrot NetworkManager[779]: <info>  [1604592997.0436] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:37 parrot NetworkManager[779]: <info>  [1604592997.0436] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:38 parrot NetworkManager[779]: <info>  [1604592998.9010] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:38 parrot NetworkManager[779]: <info>  [1604592998.9010] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:41 parrot NetworkManager[779]: <info>  [1604593001.0451] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:41 parrot NetworkManager[779]: <info>  [1604593001.0452] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
Nov  5 21:46:42 parrot NetworkManager[779]: <info>  [1604593002.6824] device (wlan0): supplicant interface state: scanning -> disconnected
Nov  5 21:46:42 parrot NetworkManager[779]: <info>  [1604593002.6826] device (p2p-dev-wlan0): supplicant management interface state: scanning -> disconnected
Nov  5 21:46:46 parrot NetworkManager[779]: <info>  [1604593006.0442] device (wlan0): supplicant interface state: disconnected -> scanning
Nov  5 21:46:46 parrot NetworkManager[779]: <info>  [1604593006.0443] device (p2p-dev-wlan0): supplicant management interface state: disconnected -> scanning
